Datum;Valuta;Name;Verwendungszweck;Betrag;Währung;Konto
17.01.2026;17.01.2026;REWE Markt GmbH;Lebensmittel;-45,80;EUR;Girokonto
16.01.2026;16.01.2026;Amazon EU S.à.r.L.;Bücher & Elektronik;-89,99;EUR;Girokonto
15.01.2026;15.01.2026;Deutsche Bahn AG;Bahnticket München-Berlin;-67,50;EUR;Girokonto
15.01.2026;15.01.2026;Netflix International;Streaming Abo;-12,99;EUR;Girokonto
14.01.2026;14.01.2026;Spotify AB;Musik Abo;-9,99;EUR;Girokonto
14.01.2026;14.01.2026;Vodafone GmbH;Mobilfunk Januar;-49,95;EUR;Girokonto
13.01.2026;13.01.2026;E.ON Energie Deutschland;Stromabschlag Januar;-89,00;EUR;Girokonto
12.01.2026;12.01.2026;ALDI SÜD;Lebensmittel;-38,90;EUR;Girokonto
11.01.2026;11.01.2026;Shell Station;Tanken;-65,00;EUR;Girokonto
10.01.2026;10.01.2026;H&M Deutschland;Kleidung;-79,90;EUR;Girokonto
05.01.2026;05.01.2026;Employer GmbH;Gehalt Januar 2026;3500,00;EUR;Girokonto
31.12.2025;31.12.2025;Rossmann;Drogerie;-23,45;EUR;Girokonto
30.12.2025;30.12.2025;MediaMarkt Saturn;Elektronik;-199,00;EUR;Girokonto
